boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
reserved,0.03561199761990552,0.03237487895145072,5,20,0.0339651416839539,normalized_mse,A1,466
reserved,0.28039427194536953,0.26684934487901524,1,20,0.27343833885677604,perp_score,A1,492
reserved,0.15968941841508225,0.1408637429943499,1,24,0.14998825809441751,cos_score,A1,492
reserved,0.0005848276901142233,0.0005665769966258452,1,24,0.0005755614569336074,normalized_mse,A1,492
reserved,0.002078516511941059,0.001968022717370454,2,24,0.0020210613238614015,normalized_mse,A1,492
reserved,0.005427078931524891,0.005080942824144142,3,24,0.005247317862398643,normalized_mse,A1,486
reserved,0.021260541497295195,0.019612956250665413,5,24,0.020427307365508067,normalized_mse,A1,466
reserved,0.2449387382630364,0.23235172554154954,1,24,0.2384753147990806,perp_score,A1,492
reserved,0.13766861339376726,0.12036292352182597,1,28,0.12872267754888705,cos_score,A1,492
reserved,0.00039649784409922465,0.00038577289434462217,1,28,0.0003910533040322692,normalized_mse,A1,492
reserved,0.0014814412851042087,0.0013991134942529032,2,28,0.0014393348325391945,normalized_mse,A1,492
reserved,0.004001951806637671,0.003736273233421473,3,28,0.003864735495393616,normalized_mse,A1,486
reserved,0.01687381591271599,0.01549820453455647,5,28,0.016173279049491635,normalized_mse,A1,466
reserved,0.22422412202102662,0.21206643937951236,1,28,0.2180097401769134,perp_score,A1,492
reserved,0.023234238495674898,0.018566324223694426,1,32,0.020648355226324022,cos_score,A1,492
reserved,0.0001881549968157062,0.00017892971086316738,1,32,0.0001835549289251384,normalized_mse,A1,492
reserved,0.0008218065901482427,0.0007806631148575548,2,32,0.0008010429264348477,normalized_mse,A1,492
reserved,0.0025675368514280063,0.002420226276796624,3,32,0.002492481785362351,normalized_mse,A1,486
reserved,0.01335775745553813,0.01244979910445521,5,32,0.012902621596264235,normalized_mse,A1,466
reserved,0.08969503658683395,0.08623857410188346,1,32,0.08784350322530154,perp_score,A1,492
reserved,0.9793023247900866,0.9781021965751278,0,-1,0.9787104658455232,layer_smoothness,A2,492
reserved,1.3897174433843589,1.364598089097836,1,4,1.3772573139171485,cos_score,A2,492
reserved,0.1776059723983471,0.16753368212368855,1,4,0.17257477174067554,normalized_mse,A2,492
