boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
natural,0.8244831579811791,0.8065127634245319,1,12,0.8155408928637371,perp_score,A1,100
natural,1.4682700810615574,1.417801811789948,1,16,1.4425826720600063,cos_score,A1,100
natural,1.2658008950132134,1.1185247498127922,1,16,1.1919385491431012,normalized_mse,A1,100
natural,2.903774587696255,2.6063675466624208,2,16,2.7543985727565565,normalized_mse,A1,100
natural,6.213985864484768,5.610637251901187,3,16,5.910946556445537,normalized_mse,A1,98
natural,15.991323786164113,14.330659910173308,5,16,15.144722200048966,normalized_mse,A1,94
natural,0.8148704291444742,0.7915955615775019,1,16,0.8033807964449511,perp_score,A1,100
natural,1.4473872926518991,1.3833459420910228,1,20,1.4147509993300182,cos_score,A1,100
natural,0.7062893864810509,0.6114768456276518,1,20,0.6589971762033515,normalized_mse,A1,100
natural,1.642122649067355,1.4273269695184458,2,20,1.533457450986334,normalized_mse,A1,100
natural,3.542977275641621,3.1489249188212507,3,20,3.3443880902224223,normalized_mse,A1,98
natural,9.368412344998845,8.207696456656407,5,20,8.776122629545597,normalized_mse,A1,94
natural,0.7987376493197881,0.7693701003711021,1,20,0.7842919414614978,perp_score,A1,100
natural,1.4315967960749938,1.3622477066254692,1,24,1.396207857869255,cos_score,A1,100
natural,0.4336279005764023,0.370723516315726,1,24,0.4019531714810715,normalized_mse,A1,100
natural,1.0192176568777795,0.8669005324480223,2,24,0.941887155427378,normalized_mse,A1,100
natural,2.1679491617275146,1.9025374334639875,3,24,2.0335617397083197,normalized_mse,A1,98
natural,5.749019294529289,4.958614374065712,5,24,5.346320526988766,normalized_mse,A1,94
natural,0.7907491449218665,0.759510938447636,1,24,0.775337339495102,perp_score,A1,100
natural,1.416207086889224,1.3412271191052088,1,28,1.3780614221014997,cos_score,A1,100
natural,0.3036784083542698,0.2571858273785367,1,28,0.2802856295146134,normalized_mse,A1,100
natural,0.711116173599173,0.598244118671883,2,28,0.6533912966298832,normalized_mse,A1,100
natural,1.5062993481880944,1.310655740833156,3,28,1.406720330773791,normalized_mse,A1,98
natural,3.9789410381393293,3.4040315746888155,5,28,3.6848615824304845,normalized_mse,A1,94
natural,0.7852781439655302,0.7527004159649461,1,28,0.7690827600753991,perp_score,A1,100
natural,1.337938830635986,1.2225618379059386,1,32,1.2809654791702776,cos_score,A1,100
natural,0.11684062410507619,0.09187604619392122,1,32,0.1039697889599921,normalized_mse,A1,100
natural,0.2633060441254767,0.20231006952214659,2,32,0.23183535366073646,normalized_mse,A1,100
natural,0.5217697355021746,0.413112335063571,3,32,0.465891952661457,normalized_mse,A1,98
natural,1.3107894280537595,1.009130564250114,5,32,1.1544711608173963,normalized_mse,A1,94
natural,0.7160909567050227,0.6748921064615772,1,32,0.6959656016237079,perp_score,A1,100
natural,1.0356848207678795,1.0303356895295053,0,-1,1.0330023114259115,layer_smoothness,A2,100
natural,1.5126311045488094,1.4602761959058295,1,4,1.4859275443039577,cos_score,A2,100
natural,3.1410191120268696,2.7545810359566048,1,4,2.949906776187334,normalized_mse,A2,100
natural,6.43745867748731,5.77086657933228,2,4,6.107859016834991,normalized_mse,A2,100
natural,13.800188442399424,12.279159766374626,3,4,13.04233522850655,normalized_mse,A2,98
natural,33.931373470931845,30.31717412989565,5,4,32.1498243131313,normalized_mse,A2,94
natural,0.8384169158938711,0.8166482963993343,1,4,0.827436081895716,perp_score,A2,100
natural,1.5003265843362152,1.4645111151893437,1,8,1.4821170573507518,cos_score,A2,100
natural,3.299657004102012,3.0435811512177464,1,8,3.17376004245587,normalized_mse,A2,100
natural,7.460863300574976,6.992488320815155,2,8,7.230004777230275,normalized_mse,A2,100
natural,15.339086974776887,14.313782271038084,3,8,14.832472095982535,normalized_mse,A2,98
natural,37.63484553329487,35.24459945105617,5,8,36.46402011439798,normalized_mse,A2,94
natural,0.8439145902779904,0.8298018360795627,1,8,0.8369386731810025,perp_score,A2,100
natural,1.4898135407876754,1.4576568073849636,1,12,1.4734205624999561,cos_score,A2,100
natural,3.3375068524370097,3.126312435516152,1,12,3.2333969211338722,normalized_mse,A2,100
natural,7.66587982927519,7.295025526685296,2,12,7.4867644268330045,normalized_mse,A2,100
natural,15.604274402688775,14.802752813519819,3,12,15.205617138222797,normalized_mse,A2,98
natural,38.548650170980004,36.51955611866599,5,12,37.54087272528089,normalized_mse,A2,94
natural,0.8434370506654977,0.8312715718670242,1,12,0.8373568602205826,perp_score,A2,100
natural,1.489758360799636,1.4540165777768481,1,16,1.471594137833659,cos_score,A2,100
natural,2.8912272425473553,2.702995418921566,1,16,2.7976655499702656,normalized_mse,A2,100
