boundary_mode,ci95_high,ci95_low,comparison,horizon,improvement_ratio_left_over_right,layer,left,left_mean,mean_difference,metric,n_problems,right,right_mean
natural,3.0675154593054086,2.259089213095118,A-C,5,0.922423107760235,16,C,31.385735386765816,2.6395780759189256,normalized_mse,94,A,34.025313462684736
natural,0.0013224180372526343,-0.00044057859484591375,A-C,1,0.9995248001883669,16,C,0.8334375670593898,0.0003962376669393586,perp_score,100,A,0.8338338047263291
natural,0.018603710354317002,0.011452439490924416,A-C,1,0.9898830628898203,20,C,1.451696926684071,0.014836829784144951,cos_score,100,A,1.4665337564682155
natural,0.21350980120140164,0.1775991957336855,A-C,1,0.9137392359913047,20,C,2.068454262970097,0.19527063960131957,normalized_mse,100,A,2.2637249025714166
natural,0.5049627525385763,0.43233482777684934,A-C,2,0.910496820790593,20,C,4.758440957567376,0.4677617582593264,normalized_mse,100,A,5.226202715826703
natural,1.077138442887339,0.9118628388817177,A-C,3,0.9094230884516568,20,C,9.968648860409475,0.9928595804875491,normalized_mse,98,A,10.961508440897022
natural,2.8651406022078896,2.144713013587957,A-C,5,0.9096391773633054,20,C,25.045485948622694,2.4879433185950375,normalized_mse,94,A,27.533429267217734
natural,0.003839448858814898,0.0015453851845647645,A-C,1,0.9968405589110042,20,C,0.8261036008680422,0.002618298018693227,perp_score,100,A,0.8287218988867356
natural,0.02508876859734189,0.017311207098699877,A-C,1,0.9856919515785071,24,C,1.4450990314217613,0.020976682301526856,cos_score,100,A,1.466075713723289
natural,0.42291801588493366,0.35407855336462213,A-C,1,0.7960618533693077,24,C,1.513397168752974,0.38770782999500747,normalized_mse,100,A,1.901104998747982
natural,0.9008802635742221,0.787284744601077,A-C,2,0.8047973454759915,24,C,3.4770706339717616,0.8433594140613535,normalized_mse,100,A,4.320430048033115
natural,1.977197285038607,1.7016772204499875,A-C,3,0.7989144895475686,24,C,7.294143137346883,1.8359242638309514,normalized_mse,98,A,9.13006740117783
natural,4.914971259036699,4.11868047121485,A-C,5,0.8040001633418784,24,C,18.507464792995904,4.511765347540935,normalized_mse,94,A,23.019230140536834
natural,0.005482715928004757,0.0027912701789403085,A-C,1,0.995073237614987,24,C,0.8233803712061861,0.00407668429626318,perp_score,100,A,0.8274570555024492
natural,0.04008847006733887,0.02876543791310572,A-C,1,0.9764792541604607,28,C,1.4227530220466198,0.03427027464374196,cos_score,100,A,1.4570232966903616
natural,0.6103323680228552,0.5255357718317097,A-C,1,0.6778605937299927,28,C,1.1928712518699454,0.5668877058031322,normalized_mse,100,A,1.7597589576730772
natural,1.2999817164429162,1.163877650974007,A-C,2,0.6863871319338106,28,C,2.692584375086887,1.2302519512598278,normalized_mse,100,A,3.922836326346714
natural,2.7760949110893662,2.4398489226828097,A-C,3,0.682778210181366,28,C,5.606592978648461,2.604848006205441,normalized_mse,98,A,8.211440984853903
natural,6.78647590570814,5.922988068990207,A-C,5,0.6885718273815924,28,C,14.047251055184088,6.35330920096387,normalized_mse,94,A,20.400560256147962
natural,0.01008286106363942,0.006758606354371948,A-C,1,0.9898967947688747,28,C,0.8208425655160149,0.008377783366586188,perp_score,100,A,0.8292203488826011
natural,0.21256159098690386,0.17041916211970984,A-C,1,0.8688822332941166,32,C,1.2681023197217545,0.1913616572479552,cos_score,100,A,1.4594639769697095
natural,1.0906985246077832,0.9283947116243946,A-C,1,0.3909711030410604,32,C,0.648080906951256,1.0095375254861754,normalized_mse,100,A,1.6576184324374312
natural,2.204463510944754,1.9079129566298147,A-C,2,0.4495137766385525,32,C,1.680594642019896,2.058099763716277,normalized_mse,100,A,3.7386944057361733
natural,4.856012713979845,4.177722114087346,A-C,3,0.43272202968650186,32,C,3.4448776766265863,4.516070554094018,normalized_mse,98,A,7.960948230720605
natural,11.893288608877208,10.06154284893055,A-C,5,0.4580105232466501,32,C,9.281207784364133,10.982972432661086,normalized_mse,94,A,20.264180217025213
natural,0.07098747255608648,0.0578971313918307,A-C,1,0.9218939183175583,32,C,0.759086755362316,0.0643124886067052,perp_score,100,A,0.8233992439690211
